Cuisines,Food item,Session consumed,Quantity,Protiens (in g),Carbs (in g),Fats (in g),Fiber (in g),Calcium (in mg),Total (in g),Calories (in Cal)
Central MP,mawa bati,Dessert,1 piece,1.80,14.80,9.70,0.20,74,40.00,152.00
Central MP,malpua rabdi,Dessert,1 piece,5.00,22.00,9.50,0.50,108,83.00,193.00
Central MP,puri and aloo sabji,Breakfast/Lunch,1 serve,9.60,58.60,16.00,8.70,47.4,175.00,416.00
Central MP,bharli bhindi,Lunch/Dinner,1 cup,4.20,18.00,7.80,8.30,172,166.00,152.00
Narmada,puri and aloo sabji,Breakfast/Lunch,1 serve,9.60,58.60,16.00,8.70,47.4,175.00,416.00
Narmada,poha,Snack/Breakfast,1 bowl,5.00,53.00,7.90,2.20,25,220.00,302.00
Narmada,papad ki sabji,Lunch/Dinner,1 bowl,8.00,18.00,22.00,5.00,168.8,350.00,295.00
Narmada,chakali,Snack/Breakfast,1 piece,0.40,2.00,0.90,0.20,1.28,5.00,18.00
Narmada,jowar ki roti,Breakfast/Lunch,1 roti,2.00,19.50,0.80,1.70,3.83,50.00,91.00
Narmada,khandvi,Snack/Breakfast,1 piece,1.30,2.70,1.60,0.50,19.7,20.00,30.00
Narmada,bharwa baingan,Lunch/Dinner,1 piece,0.90,3.70,8.40,1.90,22.7,50.00,92.00
mahakoshal,kadhi pakora,Lunch/Dinner,1 cup,7.40,18.70,16.60,3.80,114,250.00,253.00
mahakoshal,rogan josh,Lunch/Dinner,1 bowl,24.10,11.20,40.00,3.80,119,350.00,505.00
mahakoshal,aloo tikki,Snack/Lunch,1 piece,0.70,10.20,4.60,0.80,6.59,50.00,84.00
mahakoshal,gakhar ,Breakfast/Lunch,1 piece,3.80,23.20,16.20,2.80,14.83,80.00,253.00
mahakoshal,litti chokha,Lunch/Dinner,1 serve,10.70,49.00,19.00,5.80,41.16,210.00,416.00
Vindhya,Bati,Lunch/Dinner,1 piece,1.80,10.40,5.00,1.60,7.58,30.00,94.00
Vindhya,tikadia,Snack,1 piece,2.00,11.00,2.60,2.10,17.32,35.00,74.00
Vindhya,mungodi,Snack,1 cup,8.50,20.50,0.50,2.90,18.26,83.00,120.00
Vindhya,sarson ka saag,Lunch/Dinner,1 cup,4.00,12.80,8.20,4.00,148,250.00,136.00
Vindhya,lapsi,Dessert,1 bowl,4.70,63.00,17.60,4.20,35.62,350.00,424.00
Vindhya,dahi vada,Snack,1 piece,8.00,22.00,11.00,3.80,59,155.00,215.00
Gwalior,gajak,Dessert,1 piece,0.70,5.10,1.80,0.60,51,8.30,39.00
Gwalior,bedai,Breakfast,1 piece,5.00,20.60,9.70,4.50,39.69,50.00,188.00
Gwalior,shikanji,Beverage,1 glass,0.20,14.20,0.20,0.10,13.28,250.00,55.00
Gwalior,matar kachori,Snack,1 piece,3.80,20.20,11.40,1.00,13.17,65.00,200.00
Gwalior,navratan korma,Lunch/Dinner,1 cup,12.00,22.30,22.00,5.70,151,250.00,330.00
Gwalior,besan gatte ki sabji,Lunch/Dinner,1 cup,13.40,36.90,9.40,8.70,69,250.00,285.00
rayalaseema,Rayalaseema Chicken Curry,Lunch/Dinner,1 cup,35.40,14.10,10.10,4.80,250,281.00,
rayalaseema,Ragi Sangati,Lunch/Dinner,1 piece,2.20,21.40,0.40,3.40,150,97.00,
rayalaseema,Gutti Vankaya Koora,Lunch/Dinner,1 cup,5.40,27.50,26.20,7.50,166,362.00,
rayalaseema,Royyala Iguru:,Lunch/Dinner,1 bowl,35.00,13.70,11.80,2.50,303,297.00,
rayalaseema,Mutton Korma,Lunch/Dinner,1 cup,23.20,7.30,22.00,1.90,250,320.00,
rayalaseema,Ulavacharu,Lunch/Dinner,1 cup,7.40,21.00,3.40,4.60,250,154.00,
rayalaseema,kandi podi,Lunch/Dinner,1 tablespoon,3.30,8.70,0.50,1.60,15,52.00,
rayalaseema,pachi pulusu,Lunch/Dinner,1 cup,0.70,5.00,4.00,1.00,250,58.00,
rayalaseema,jonna rotte,"Breakfast, Lunch, Dinner",1 piece,2.00,19.40,0.80,1.70,50,91.00,
rayalaseema,chepala pulusu,"Lunch, Dinner",1 cup,23.00,13.00,13.00,4.70,250,258.00,
rayalaseema,allam pachadi,"Lunch, Dinner",1 tablespoon,0.50,5.00,1.10,0.60,15,31.00,
Coastal andhra,Pesarattu,"Breakfast, Lunch, Dinner",1 piece,6.20,14.60,3.70,4.30,60,116.00,
Coastal andhra,Gongura Mamsam:,"Lunch, Dinner",1 cup,28.00,10.00,25.00,3.80,250,378.00,
Coastal andhra,Ulavacharu,"Lunch, Dinner",1 cup,7.40,21.00,3.40,4.60,250,154.00,
Coastal andhra,Gutti Vankaya Kura,"Lunch, Dinner",1 cup,5.00,13.70,12.60,6.40,250,184.00,
Coastal andhra,andhra kodi biryani,"Lunch, Dinner",1 bowl,21.30,40.00,5.00,2.00,289,283.00,
Coastal andhra,pulihora,"Lunch, Dinner",1 bowl,8.70,66.00,10.70,3.00,289,391.00,
Coastal andhra,Bommidayila Pulusu:,"Lunch, Dinner",1 cup,24.00,8.00,16.00,1.80,250,274.00,
Coastal andhra,avikaya rice,Dinner,1 bowl,6.20,58.00,13.00,2.70,289,373.00,
Coastal andhra,Dondakaya Fry,"Lunch, Dinner",1 cup,2.70,6.00,16.70,5.60,166,185.00,
Coastal andhra,Panasa Puttu Koora,"Breakfast, Lunch, Dinner",1 bowl,6.60,61.00,10.00,5.00,350,337.00,
telengana,Hyderabadi Biryani:,"Lunch, Dinner",1 bowl,25.60,46.20,4.60,0.90,289,328.00,
telengana,sakinalu,Snack,1 piece,0.70,3.50,2.50,0.60,10,39.00,
telengana,haleem,Dinner,1 bowl,27.00,19.20,30.70,3.50,303,458.00,
telengana,Bagara Baingan,Dinner,1 cup,6.00,15.50,22.70,7.30,250,283.00,
telengana,pachi pulusu,"Lunch, Dinner",1 cup,0.70,5.00,4.00,1.00,250,58.00,
telengana,Telangana Chepa Pulusu,"Lunch, Dinner",1 cup,23.00,13.30,12.80,4.70,250,258.00,
telengana,Talakaya Kura,"Lunch, Dinner",1 cup,22.40,10.00,18.00,4.00,250,292.00,
telengana,Palakura Pappu,"Lunch, Dinner",1 cup,10.30,25.60,6.00,4.60,250,197.00,
telengana,pulihora,"Lunch, Dinner",1 bowl,8.70,66.00,10.70,3.00,289,391.00,
telengana,kandi podi,"Breakfast, Lunch, Dinner",1 tablespoon,3.30,8.70,0.50,1.60,15,52.00,
north gujrat,Bajra no Rotlo,"Breakfast, Lunch, Dinner",1 piece,3.00,17.00,1.30,2.20,50,90.00,
north gujrat,Dhokla,Snack,1 piece,2.40,5.60,2.40,1.00,35,54.00,
north gujrat,Methi na Gota,Snack,1 piece,1.50,4.30,3.30,0.90,20,53.00,
north gujrat,Gujarati Dal,"Lunch, Dinner",1 cup,9.50,27.30,7.60,5.00,250,213.00,
north gujrat,Handvo,"Breakfast, Lunch, Dinner",1 piece,8.50,32.20,3.00,4.00,104,190.00,
north gujrat,Khaman,Snack,1 piece,2.40,5.60,2.40,1.00,35,54.00,
north gujrat,Fafda,Snack,1 piece,1.20,3.00,2.70,0.60,10,42.00,
north gujrat,Thepla,"Breakfast, Lunch, Dinner",1 piece,3.00,16.60,5.40,2.60,40,126.00,
north gujrat,Ringan no Olo,Dinner,1 cup,2.40,13.00,7.20,5.00,166,122.00,
north gujrat,Dal Dhokli,Lunch,1 cup,11.70,40.70,9.00,7.00,250,287.00,
central gujrat,Khichu,Snack,1 cup,4.00,49.00,15.00,2.00,216,350.00,
central gujrat,sev usal,"Lunch, Dinner",1 bowl,6.70,22.50,6.00,7.70,350,168.00,
central gujrat,Pav Bhaji,"Lunch, Dinner",1 serve,8.30,61.30,11.70,3.30,240,383.00,
central gujrat,farsan,"Snack, Lunch",1 serve,4.00,11.40,11.50,3.00,28,164.00,
central gujrat,Batata Vada,"Snack, Lunch",1 piece,1.80,14.40,9.40,1.40,80,150.00,
central gujrat,Undhiyu,"Lunch, Dinner",1 cup,11.20,31.20,24.40,10.70,216,387.00,
central gujrat,Gota,"Snack, Lunch",1 piece,1.50,4.30,3.30,1.00,20,53.00,
central gujrat,Chorafali,Snack,1 piece,0.50,1.70,1.00,0.30,5,18.00,
central gujrat,Shrikhand,"Snack, Dessert",1 cup,8.40,82.00,14.00,0.10,216,478.00,
south gujrat,Surati Undhiyu:,"Lunch, Dinner",1 cup,11.20,31.20,24.40,10.70,216,387.00,
south gujrat,ghari,Dessert,1 piece,0.50,10.00,0.40,2.20,30,46.00,
south gujrat,Ponk Vada,Snack,1 piece,2.30,12.60,3.30,1.80,40,89.00,
south gujrat,patra,Snack,1 piece,1.30,7.80,2.30,1.10,25,57.00,
south gujrat,1 locho,Snack,1 cup,11.50,34.40,11.90,7.90,166,288.00,
south gujrat,dabeli,Snack,1 serve,5.00,44.00,12.00,2.40,125,303.00,
south gujrat,Kolmi no Patio,"Lunch, Dinner",1 cup,15.50,11.20,7.00,2.50,250,169.00,
south gujrat,kokam sherbet,Beverage,1 glass,0.20,21.40,0.20,3.40,150,97.00,
south gujrat,Umbariyu:,"Lunch, Dinner",1 cup,4.50,26.00,5.40,11.10,166,167.00,
marwar,Dal Baati Churma,"Lunch, Dinner",2 bati + 1/2 cup dal,15.30,61.70,14.80,11.20,230,440.00,
marwar,Gatte Ki Sabzi,"Lunch, Dinner",1 bowl,10.60,29.80,20.20,6.50,350,343.00,
marwar,Ker Sangri,"Lunch, Dinner",1 cup,7.20,18.70,15.30,8.40,166,261.00,
marwar,Bajra Roti,"Lunch, Dinner",1 roti,3.00,17.20,1.30,2.20,40,91.00,
marwar,Laal Maas,"Lunch, Dinner",1 cup,27.00,5.90,24.50,1.80,250,348.00,
marwar,Panchmel Dal,"Lunch, Dinner",1 cup,13.60,36.40,3.60,9.80,250,230.00,
marwar,Raj Kachori,Snack,1 piece,6.70,29.60,27.00,3.40,120,388.00,
marwar,Rabri,Dinner,1 cup ,15.00,90.20,22.00,2.30,250,600.00,
marwar,Aam Ki Launji,Lunch,1 tablespoon ,0.10,3.70,0.70,0.20,15,20.00,
marwar,Kadhi Pakora,Lunch,1 cup,7.40,18.70,16.60,3.80,250,253.00,
marwar,Kalmi Vada,Breakfast,1 vada,3.00,9.40,6.00,2.30,40,102.00,
marwar,Haldi Ki Sabzi,Dinner,1 katori,3.80,26.00,6.40,6.70,100,177.00,
marwar,Mirchi Tipore,"Lunch, Dinner",1 piece,0.60,1.30,1.60,0.70,10,21.00,
marwar,Besan Chakki,Dinner,1 chakki,1.60,14.60,7.10,0.80,30,127.00,
marwar,Malai Ghevar,"Breakfast, Dinner",1 ghevar,2.10,15.70,15.00,0.30,60,205.00,
marwar,Methi Bajra Poori,Breakfast,1 puri,2.60,14.60,6.90,2.20,40,130.00,
marwar,Govind Gatte,lunch/dinner,1 cup,15.10,29.00,26.80,5.60,250,419.00,
seven sisters,thupka,"Lunch, Dinner",1 cup,14.70,16.40,13.30,1.60,250,242.00,
seven sisters,momos,"Breakfast, Lunch, Dinner",1 piece,1.30,8.40,1.10,0.80,36,49.00,
seven sisters,apong,Dinner,1 piece,2.50,24.20,4.60,1.40,80,146.00,
seven sisters,masor tenga,"Lunch, Dinner",1 bowl,13.00,7.80,19.30,4.00,350,260.00,
seven sisters,eromba,"Lunch, Dinner",1 bowl,11.00,30.00,4.70,4.00,350,203.00,
seven sisters,jadoh,"Lunch, Dinner",1 bowl,12.40,35.30,5.50,0.60,233,240.00,
seven sisters,muya awandru,"Lunch, Dinner",1 bowl,5.00,14.00,0.70,2.70,350,82.00,
seven sisters,pitha,"Breakfast, Lunch, Dinner",1 piece,2.00,10.90,4.60,1.20,30,93.00,
seven sisters,dohneihong,"Lunch, Dinner",1 bowl,26.30,11.00,6.90,2.60,350,210.00,
seven sisters,chack hao kheer,"Breakfast, Dinner",1 cup,10.00,100.00,11.00,2.10,250,529.00,
seven sisters,gulho,Dinner,1 bowl,11.20,48.40,8.00,3.80,350,312.00,
himachal pradesh,dham,"Lunch, Dinner",1 piece,18.00,117.50,26.70,11.40,800,776.00,
himachal pradesh,chana madra,"Lunch, Dinner",1 bowl,18.00,52.00,14.00,15.00,350,395.00,
himachal pradesh,siddu,"Breakfast, Lunch, Dinner",1 piece,5.70,23.30,1.30,4.20,59,127.00,
himachal pradesh,babru,"Breakfast, Lunch",1 piece,8.70,36.00,8.80,6.00,80,257.00,
himachal pradesh,ghost,"Lunch, Dinner",1 piece,84.00,0.00,60.30,0.00,453,880.00,
himachal pradesh,trout fish,"Lunch, Dinner",1 piece,16.40,0.00,5.20,0.00,80,117.00,
himachal pradesh,patande,"Breakfast, Lunch, Dinner",1 piece,1.50,9.20,3.20,0.80,40,70.00,
himachal pradesh,bhey mutter,"Breakfast, Lunch, Dinner",1 bowl,7.10,49.30,8.80,7.60,233,296.00,
"Jalandar, punjab",amritsari kulcha,"Breakfast, Lunch, Dinner",1 poiece,3.70,6.00,24.30,1.10,70,168.00,
"Jalandar, punjab",makki ki roti,"Breakfast, Lunch, Dinner",1 piece,2.30,6.50,24.30,2.60,71,162.00,
"Jalandar, punjab",butter chicken,"Lunch, Dinner",1 cup,26.10,18.40,7.60,2.10,250,316.00,
"Jalandar, punjab",paneer tikka,"Lunch, Dinner",1 piece,4.30,6.00,0.70,0.10,27,75.00,
"Jalandar, punjab",chole bature,"Breakfast, Lunch",1 serve,8.90,25.00,47.00,6.90,250,445.00,
"Jalandar, punjab",lassi,"Breakfast, Lunch, Dinner",1 glass,6.40,8.20,26.40,0.10,250,202.00,
"Jalandar, punjab",dal makhani,"Lunch, Dinner",1 cup,10.20,13.90,27.40,9.80,250,274.00,
"Jalandar, punjab",aloo paratha,"Breakfast, Lunch",1 piece,4.70,6.70,31.20,4.40,100,203.00,
"Jalandar, punjab",jalebi,"Breakfast, Lunch, Dinner",1 piece,0.50,3.70,7.60,0.20,25,66.00,
"Patiala and Firozpur, punjab",patiyala paneer,"Lunch, Dinner",1 bowl,19.80,21.60,21.90,3.40,350,386.00,
"Patiala and Firozpur, punjab",murgh makhani biryani,"Lunch, Dinner",1 cup,40.00,16.00,3.00,0.80,206,324.00,
"Patiala and Firozpur, punjab",tandoori chicken,"Lunch, Dinner",1 piece,19.50,6.30,1.30,0.40,100,145.00,
"Patiala and Firozpur, punjab",amritsari fish,"Lunch, Dinner",1 piece,4.00,3.20,2.40,0.50,25,55.00,
"Patiala and Firozpur, punjab",lassi,"Breakfast, Lunch, Dinner",1 glass,6.40,8.20,26.40,0.10,250,202.00,
"Patiala and Firozpur, punjab",chole bature,"Breakfast, Lunch",1 serve,8.90,25.00,47.00,6.90,250,445.00,
"Patiala and Firozpur, punjab",jalebi,Snacks,1 piece,0.50,3.70,7.60,0.20,25,66.00,
"Northern Hills, Chattisgarh",dahi bada,,1 serve,7.90,18.00,10.70,3.50,147,195.00,
"Northern Hills, Chattisgarh",pej,,1 cup,0.60,4.30,0.30,0.20,250,35.00,
"Northern Hills, Chattisgarh",khichdi,,1 cup,7.60,40.30,2.00,2.00,250,208.00,
"Northern Hills, Chattisgarh",Myna Muthia,,1 piece,2.00,6.60,2.00,1.40,20,53.00,
"Northern Hills, Chattisgarh",Rikwach,,1 piece,2.50,7.00,3.10,1.70,25,66.00,
"Northern Hills, Chattisgarh",Tikhur Halwa,,1 katori,0.80,60.00,4.30,0.90,150,282.00,
"Northern Hills, Chattisgarh",Wild Mushroom Curry,,1 cup,5.00,11.60,7.50,3.50,250,124.00,
"Northern Hills, Chattisgarh",Bamboo Shoot Fry,,1 cup,6.20,12.30,9.40,3.20,166,155.00,
"Northern Hills, Chattisgarh",Ragi Laddu,,1 piece,1.20,21.70,3.50,1.80,30,123.00,
"Northern Hills, Chattisgarh",Pakhala,,1 cup,2.20,15.70,2.60,0.50,250,95.00,
"Northern Hills, Chattisgarh",angakar roti,,1 piece,3.40,38.40,9.40,1.40,100,255.00,
"Northern Hills, Chattisgarh",Gulgula,,1 piece,0.50,6.50,2.70,0.30,20,52.00,
chattisgarh plains zone,Bafauri,,1 piece,1.50,4.80,0.40,1.20,20,29.00,
chattisgarh plains zone,Muthia,,1 piece,2.20,6.60,2.00,1.40,20,53.00,
chattisgarh plains zone,Rakhia Badi,,1 piece,0.20,0.40,0.00,0.10,3,2.00,
chattisgarh plains zone,khurmi,,1 piece,0.70,9.80,2.30,0.70,20,62.00,
chattisgarh plains zone,jalebi,,1 piece,0.50,7.60,3.70,0.20,25,66.00,
chattisgarh plains zone,chousela,,1 piece,1.50,15.00,7.00,0.90,50,128.00,
chattisgarh plains zone,Dubki Kadhi,,1 cup,15.00,41.00,6.50,8.80,250,278.00,
chattisgarh plains zone,Bhajia,,1 piece,1.30,3.50,2.70,0.80,15,44.00,
chattisgarh plains zone,Kanda Poha,,1 cup,3.60,37.40,6.50,1.80,166,221.00,
chattisgarh plains zone,Rikwach,,1 piece,2.50,3.10,7.00,1.70,25,66.00,
chattisgarh plains zone,surti khaja,,1 piece,1.30,19.00,7.00,0.40,40,145.00,
"Bastar plateau, Chattisgarh",madiya,,1 bowl,3.70,2.40,35.60,1.40,350,179.00,
"Bastar plateau, Chattisgarh",Wild Mushroom Curry,,1 cup,5.00,11.60,7.50,3.50,250,124.00,
"Bastar plateau, Chattisgarh",Tikhur Halwa,,1 katori,0.80,4.30,60.00,0.90,150,282.00,
"Bastar plateau, Chattisgarh",red rice,,1 cup,16.00,0.00,148.00,8.00,180,641.00,
"Bastar plateau, Chattisgarh",angakar roti,,1 piece,3.40,38.40,9.40,1.40,100,255.00,
"Bastar plateau, Chattisgarh",kusli,,1 picee,2.50,8.00,20.60,1.30,40,164.00,
"Bastar plateau, Chattisgarh",Bamboo Shoot Fry,,1 cup,6.20,12.30,9.40,3.20,166,155.00,
northern india odisha,chhena poda,,1 piece,9.40,16.40,15.30,0.40,80,240.00,
northern india odisha,Kakharu Phula Bhaja,,1 piece,0.60,5.00,2.00,0.30,15,41.00,
northern india odisha,macha mahura,,1 cup,17.20,31.30,11.00,4.80,250,288.00,
northern india odisha,dalma,,1 cup,9.00,29.00,5.70,5.60,250,198.00,
northern india odisha,arisha pitha,,1 piece,1.40,24.10,8.30,0.60,50,177.00,
northern india odisha,badi chura,,1 bowl,13.00,33.00,30.00,7.50,233,439.00,
northern india odisha,janhi posta,,1 cup,2.00,11.50,1.00,4.70,250,63.00,
northern india odisha,santula,,1 bowl,4.70,22.70,16.00,6.00,303,247.00,
northern india odisha,pakhala bhata,,1 bowl,3.90,19.50,6.40,0.90,350,151.00,
northern india odisha,aloo patola rasa,,1 bowl,3.80,26.80,13.30,3.40,350,239.00,
northern india odisha,Bamboo Shoot Fry,,1 cup,6.20,9.40,12.30,3.20,166,155.00,
southern interior odisha,mandia jau,,1 cup,4.80,22.00,5.00,1.70,250,150.00,
southern interior odisha,dalma,,1 cup,9.00,29.00,5.70,5.60,250,198.00,
southern interior odisha,Kakharu Phula Bhaja,,1 piece,0.60,5.00,2.00,0.30,15,41.00,
southern interior odisha,Dahi Baigana,,1 cup,4.10,16.00,9.00,5.30,250,194.00,
southern interior odisha,podo pitha,,1 piece,2.50,19.30,2.50,1.30,55,108.00,
southern interior odisha,arisa pitha,,1 piece,1.40,24.00,8.30,0.60,50,177.00,
southern interior odisha,macha mahura,,1 cup,17.20,31.30,10.90,5.00,250,288.00,
southern interior odisha,ghanta tarkari,,1 cup,7.00,30.60,5.50,6.00,250,195.00,
southern interior odisha,enduri pitha,,1 piece,5.50,31.00,3.70,2.70,80,180.00,
southern interior odisha,badi chura,,1 bowl,13.00,33.00,30.00,7.50,233,439.00,
South coastal odisha,chingudi malai curry,,1 bowl,34.00,38.00,13.00,4.00,350,508.00,
South coastal odisha,kanika rice,,1 cup,5.20,70.00,8.00,2.50,290,375.00,
South coastal odisha,dalma,,1 cup,9.00,29.00,5.70,5.60,250,198.00,
South coastal odisha,pakhala bhata,,1 bowl,3.90,19.50,6.40,0.90,350,151.00,
South coastal odisha,mudhi,,1 cup,1.00,10.30,0.00,0.20,14,46.00,
South coastal odisha,badi chura,,1 bowl,13.00,33.00,30.00,7.50,233,439.00,
South coastal odisha,khichdi,,1 cup,7.60,40.30,2.00,2.00,250,208.00,
South coastal odisha,ambila,,1 bowl,3.50,17.40,7.80,3.60,350,152.00,
South coastal odisha,prawn balchao,,1 tablespoon,1.50,2.00,1.20,0.10,15,29.00,
South coastal odisha,besara,,1 bowl,6.70,19.20,8.50,6.40,350,165.00,
South coastal odisha,dahi machhi,,1 bowl,49.00,16.00,7.20,1.60,350,380.00,
north coastal odisha,badi chura,,1 bowl,13.00,33.00,30.00,7.50,233,439.00,
north coastal odisha,dalma,,1 cup,9.00,29.00,5.70,5.60,250,198.00,
north coastal odisha,dahi machhi,,1 bowl,49.00,16.00,7.20,1.60,350,380.00,
north coastal odisha,rasabali,,1 piece,3.20,7.60,8.50,0.10,40,113.00,
north coastal odisha,kora khai,,1 cup,7.00,123.00,12.60,4.00,166,634.00,
north coastal odisha,khichdi,,1 cup,7.60,40.30,2.00,2.00,250,208.00,
north coastal odisha,prawn balchao,,1 tablespoon,1.50,2.00,1.20,0.10,15,29.00,
north coastal odisha,arisa pitha,,1 piece,1.40,24.00,8.30,0.60,50,177.00,
